,Address,Coordinates
165,"6600  CRABTREE STREET, SAN DIEGO","(32.6924584, -117.0550795)"
166,"0  FRONT STREET, SAN DIEGO","(32.7324099, -117.1648615)"
167,"3700  CAM DEL RIO , SAN DIEGO","(32.7779469, -117.1141403)"
168,"8000  EL PASEO GRANDE , SAN DIEGO","(32.852509000000005, -117.255722)"
169,"3400  VIA TONGA , SAN DIEGO","(32.5797296, -117.0597132)"
170,"6600  KELLY STREET, SAN DIEGO","(32.7817406, -117.1761924)"
171,"10300  CAM RUIZ , SAN DIEGO","(32.9053539, -117.1462159)"
172,"4400  MORAGA AVENUE, SAN DIEGO","(32.823962800000004, -117.2142248)"
173,"3100  IRIS AVENUE, SAN DIEGO","(32.5692698, -117.0667438)"
174,"500  ROBINSON AVENUE, SAN DIEGO","(32.7471822, -117.1598147)"
175,"3500  ROSA LINDA STREET, SAN DIEGO","(32.5729451, -117.0595857)"
176,"7300  CLAIREMONT MESA BOULEVARD, SAN DIEGO","(32.8333842, -117.1612834)"
177,"0  GRANADA AVENUE, SAN DIEGO","(32.7234256, -117.1329339)"
178,"4900  NEWPORT AVENUE, SAN DIEGO","(32.7458461, -117.2493391)"
179,"4400  COLLEGE AVENUE, SAN DIEGO","(32.757735700000005, -117.0663806)"
180,"600  24TH STREET, SAN DIEGO","(32.7115803, -117.1424613)"
181,"4300  ALVARADO CANYON ROAD, SAN DIEGO","(32.780243199999994, -117.1011561)"
182,"7800  STALMER STREET, SAN DIEGO","(32.8081545, -117.1557846)"
183,"7300  CLAIREMONT MESA BOULEVARD, SAN DIEGO","(32.8333842, -117.1612834)"
184,"700  F STREET, SAN DIEGO","(32.7136344, -117.158309)"
185,"1000  ALBERTA PLACE, SAN DIEGO","(32.7480035, -117.1722866)"
186,"1600  WEST MISSION BAY DRIVE, SAN DIEGO","(32.7655304, -117.2379128)"
187,"2100  BURROUGHS STREET, SAN DIEGO","(32.7820948, -117.167476)"
188,"3100  ADAMS AVENUE, SAN DIEGO","(32.7629273, -117.1282692)"
189,"2700  GARNET AVENUE, SAN DIEGO","(32.8058978, -117.2215277)"
190,"0  47TH STREET, SAN DIEGO","(32.7484076, -117.0933768)"
191,"0  WIGHTMAN STREET, SAN DIEGO","(32.7477473, -117.0999812)"
192,"2500  GENESEE AVENUE, SAN DIEGO","(32.7914365, -117.1597178)"
193,"4800  ORANGE AVENUE, SAN DIEGO","(32.753098200000004, -117.091161)"
194,"1100  25TH STREET, SAN DIEGO","(32.716862, -117.1402948)"
195,"4900  70TH STREET, SAN DIEGO","(32.7676431, -117.04695759999998)"
196,"3500  DEAVER LANE, SAN DIEGO","(32.550689899999995, -117.05489640000002)"
197,"4200  EL CAJON BOULEVARD, SAN DIEGO","(32.755230600000004, -117.1050371)"
198,"6000  PARKSIDE AVENUE, SAN DIEGO","(32.6662021, -117.0573643)"
199,"6900  LA JOLLA BOULEVARD, SAN DIEGO","(32.8317582, -117.2769298)"
200,"7200  JAMACHA ROAD, SAN DIEGO","(32.710949400000004, -117.0436504)"
201,"4100  BALBOA AVENUE, SAN DIEGO","(32.8117919, -117.2025618)"
202,"12300  BLACK MTN ROAD, SAN DIEGO","(32.939713, -117.1289419)"
203,"2900  MORENA BOULEVARD, SAN DIEGO","(32.792719899999994, -117.2066001)"
204,"3600  NILE STREET, SAN DIEGO","(32.7437185, -117.1203514)"
205,"12400  EL CAMINO REAL , SAN DIEGO","(32.9438178, -117.2404721)"
206,"3600  NILE STREET, SAN DIEGO","(32.7437185, -117.1203514)"
207,"3600  SPORTS ARENA BOULEVARD, SAN DIEGO","(32.7541112, -117.21376370000002)"
208,"2800  WOMBLE ROAD, SAN DIEGO","(32.73484860000001, -117.2162111)"
209,"1000  25TH STREET, SAN DIEGO","(32.715825, -117.14028020000002)"
210,"3900  VERMONT STREET, SAN DIEGO","(32.7497993, -117.1529567)"
211,"700 S 30TH STREET, SAN DIEGO","(32.698182, -117.1298536)"
212,"3200  LA JOLLA VILLAGE DRIVE, SAN DIEGO","(32.8717686, -117.2337499)"
213,"1800  EBERS STREET, SAN DIEGO","(32.7419872, -117.2473127)"
214,"500  SEA WORLD DRIVE, SAN DIEGO","(32.7641067, -117.2262649)"
215,"1500  GUIZOT STREET, SAN DIEGO","(32.7347878, -117.2482263)"
216,"3600  MURPHY CANYON ROAD, SAN DIEGO","(32.807694, -117.116291)"
217,"4400  BOUNDARY STREET, SAN DIEGO","(32.7586145, -117.1267731)"
218,"4300  UNIVERSITY AVENUE, SAN DIEGO","(32.7498668, -117.1015222)"
219,"1000  BROADWAY , SAN DIEGO","(32.7159407, -117.1554462)"
220,"3200  HOLIDAY COURT, SAN DIEGO","(32.8703033, -117.2339378)"
221,"2800  EL CAJON BOULEVARD, SAN DIEGO","(32.7557356, -117.1337374)"
222,"200  WILLOW ROAD, SAN DIEGO","(32.5495367, -117.0423663)"
223,"9900  POMERADO ROAD, SAN DIEGO","(32.8934973, -117.1172215)"
224,"4600  CARMEL MTN ROAD, SAN DIEGO","(32.9211637, -117.2168665)"
225,"4100  OHIO STREET, SAN DIEGO","(32.7522132, -117.1289352)"
226,"3200  MOBLEY STREET, SAN DIEGO","(32.8005712, -117.1352565)"
227,"300  MIDWAY STREET, SAN DIEGO","(32.8118679, -117.2696681)"
228,"2300  PACIFIC HIGHWAY, SAN DIEGO","(32.7275619, -117.1729633)"
229,"800  PICADOR BOULEVARD, SAN DIEGO","(32.580168900000004, -117.06046709999998)"
230,"8800  COMPLEX DRIVE, SAN DIEGO","(32.8300985, -117.1382605)"
231,"13800  CARMEL VALLEY ROAD, SAN DIEGO","(32.969961, -117.1650767)"
232,"2900  GRAPE STREET, SAN DIEGO","(32.7265523, -117.1319686)"
233,"1200  BRIARWOOD ROAD, SAN DIEGO","(32.6840739, -117.0335093)"
234,"0  MONROE AVENUE, SAN DIEGO","(32.7590302, -117.1168055)"
235,"1600  PACIFIC HIGHWAY, SAN DIEGO","(32.721792, -117.1720153)"
236,"5900  RANCHO MISSION ROAD, SAN DIEGO","(32.782903000000005, -117.1108947)"
237,"8400  CLAIREMONT , SAN DIEGO","(32.82414, -117.1936969)"
238,"13400  PACIFIC HIGHLANDS PARKWAY, SAN DIEGO","(32.9625158, -117.1900681)"
239,"2700  GARNET AVENUE, SAN DIEGO","(32.8058978, -117.2215277)"
240,"4600  WEST POINT LOMA BOULEVARD, SAN DIEGO","(32.751477, -117.2359877)"
241,"1400  CACTUS RIDGE STREET, SAN DIEGO","(32.719438000000004, -117.115523)"
242,"6500  REFLECTION DRIVE, SAN DIEGO","(32.7911337, -117.1085937)"
243,"2800  COMMERCIAL STREET, SAN DIEGO","(32.705403000000004, -117.1338782)"
244,"3800  36TH STREET, SAN DIEGO","(32.747877700000004, -117.115609)"
245,"1600  IMPERIAL AVENUE, SAN DIEGO","(32.7062812, -117.1494358)"
246,"4600  WEST POINT LOMA BOULEVARD, SAN DIEGO","(32.751477, -117.2359877)"
247,"2800  REDWOOD STREET, SAN DIEGO","(32.737441600000004, -117.133623)"
248,"5900  VILLAGE WAY, SAN DIEGO","(32.9614405, -117.1901469)"
249,"16700  BERNARDO CENTER DRIVE, SAN DIEGO","(33.016807199999995, -117.0765908)"
250,"2000  BRITANNIA BOULEVARD, SAN DIEGO","(32.5614663, -116.9798495)"
251,"3200  OCEAN VIEW BOULEVARD, SAN DIEGO","(32.7012099, -117.1251585)"
252,"2900  54TH STREET, SAN DIEGO","(32.7359363, -117.0797002)"
253,"1600  EUCLID AVENUE, SAN DIEGO","(32.72141, -117.0850014)"
254,"6500  COLLEGE GROVE DRIVE, SAN DIEGO","(32.740875800000005, -117.057169)"
255,"2500  GENESEE AVENUE, SAN DIEGO","(32.7914365, -117.1597178)"
