,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lon
14828,184931,2018-06-24 17:00:00,122,4400, ,MISSION,BOULEVARD, , , ,21235(G),VC,OPERATE MOTORIZED SCOOTER UPON A SIDEWALK,1,0,,,
14829,184794,2018-06-24 18:15:00,822,5500, ,UNIVERSITY,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,,
14830,190973,2018-06-24 18:25:00,312,5000, ,VIA VALARTA, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14831,184837,2018-06-24 18:43:00,613,4100, ,NIMITZ,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,2,0,,,
14832,185159,2018-06-24 18:45:00,442,4000, ,NEWTON,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14833,186193,2018-06-24 19:45:00,121,3900, ,MISSION,BOULEVARD, , , ,21235(G),VC,OPERATE MOTORIZED SCOOTER UPON A SIDEWALK,1,0,MISDEMEANOR,,
14834,184915,2018-06-24 20:13:00,115,4700, ,LA JOLLA VILLAGE,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14835,185193,2018-06-24 20:18:00,627,3700, ,01ST,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14836,184822,2018-06-24 21:15:00,834,3800, ,41ST,STREET, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,,,
14837,184852,2018-06-24 21:36:00,432,500,S,RADIO,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14838,184851,2018-06-24 21:50:00,122,2900, ,GARNET,AVENUE, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,1,0,,,
14839,184825,2018-06-24 22:30:00,436,7900, ,BROOKHAVEN,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,,
14840,184874,2018-06-24 22:37:00,443,2200, ,OSBORN,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14841,184947,2018-06-25 00:01:00,531,2900, ,ZOO,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14842,185044,2018-06-25 00:33:00,712,4600, ,BORDER VILLAGE,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,,
14843,184924,2018-06-25 05:00:00,441,1000,S,45TH,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14844,184982,2018-06-25 05:30:00,835,2400, ,FAIRMOUNT,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14845,184871,2018-06-25 07:01:00,822,5500, ,EL CAJON,BOULEVARD, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,0,0,MISDEMEANOR,,
14846,185008,2018-06-25 07:51:00,451,5400, ,BAYVIEW HEIGHTS,PLACE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14847,185033,2018-06-25 08:09:00,614,1600, ,SUNSET CLIFFS,BOULEVARD, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,3,0,,,
14848,184970,2018-06-25 09:40:00,517,1100, ,19TH,STREET, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,,,
14849,184887,2018-06-25 10:20:00,824,4700, ,EL CAJON,BOULEVARD, , , ,21802A,VC,ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE,1,0,,,
14850,184963,2018-06-25 10:30:00,124,900, ,GENTER,STREET, , , ,21460A,VC,DRIVING TO LEFT OF DOUBLE SOLID LINES,0,0,,,
14851,184921,2018-06-25 10:45:00,322,5100, ,WARING,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14852,184962,2018-06-25 11:23:00,614,2200, ,FROUDE,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,,
14853,185034,2018-06-25 11:31:00,516,700, ,32ND,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14854,184932,2018-06-25 11:53:00,311,0, ,AERO,DRIVE, ,DALEY CENTER,DRIVE,22100A,VC,RIGHT TURNS AT INTERSECTIONS,0,0,,,
14855,185080,2018-06-25 13:20:00,527,2100, ,NORTH HARBOR,DRIVE, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,,,
14856,184957,2018-06-25 13:55:00,313,4400, ,KEARNY VILLA,ROAD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,1,0,,,
14857,184914,2018-06-25 14:15:00,825,5100, ,FAIRMOUNT,AVENUE, , , ,21703,VC,FOLLOWING TOO CLOSELY,1,0,,,
14858,184876,2018-06-25 15:10:00,311,3300, ,MURPHY CANYON,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14859,184993,2018-06-25 16:00:00,124,7800, ,PROSPECT,PLACE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14860,185693,2018-06-25 17:12:00,122,2900, ,DAMON,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14861,184878,2018-06-25 19:00:00,628,1500, ,LINWOOD,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14862,184870,2018-06-25 22:00:00,813,4500, ,30TH,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14863,184882,2018-06-26 05:48:00,931,10300, ,VISTA SORRENTO,PARKWAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,,
14864,184953,2018-06-26 07:01:00,114,4600, ,CONRAD,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14865,184922,2018-06-26 08:00:00,826,4300, ,52ND,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14866,184912,2018-06-26 08:04:00,517,0, ,30TH,STREET, ,A,STREET,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,,,
14867,185148,2018-06-26 10:02:00,233,13200, ,RANCHO PENASQUITOS,BOULEVARD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,,
14868,184959,2018-06-26 10:11:00,511,1800, ,LOGAN,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,,
14869,184926,2018-06-26 12:45:00,447,1300, ,EUCLID,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14870,184978,2018-06-26 13:23:00,116,1900, ,MORENA,BOULEVARD, , , ,21803A,VC,YIELD SIGNSYIELD UNTIL REASONABLY SAFE,2,0,,,
14871,185144,2018-06-26 13:30:00,511,1000, ,CESAR E CHAVEZ,PARKWAY, , , ,21703,VC,FOLLOWING TOO CLOSELY,1,0,,,
14872,184902,2018-06-26 14:10:00,124,3300, ,NOBEL,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14873,184903,2018-06-26 14:23:00,626,1800,W,WASHINGTON,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14874,184907,2018-06-26 15:27:00,712,100, ,VIA DE SAN YSIDRO, , , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,0,0,,,
14875,186588,2018-06-26 15:32:00,121,3200, ,OCEAN FRONT,WALK, , , ,23152A,VC,DUI ALCOHOL,0,0,,,
14876,186799,2018-06-26 15:32:00,121,3200, ,OCEAN FRONT,WALK, , , ,23152A,VC,DUI ALCOHOL,0,0,,,
14877,184901,2018-06-26 15:35:00,243,9200, ,MIRAMAR,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14878,184948,2018-06-26 16:10:00,121,3100, ,MISSION,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14879,184938,2018-06-26 16:15:00,934,13700, ,OLD EL CAM REAL, , , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,,
14880,185262,2018-06-26 16:25:00,834,4100, ,MYRTLE,AVENUE, , , ,21800A,VC,UNCONTROLLED INTERSECTIONYIELD TO FIRST VEHICLE WITHIN,0,0,MISDEMEANOR,,
14881,184910,2018-06-26 16:40:00,615,3900, ,CANON,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14882,184895,2018-06-26 16:48:00,615,3800, ,CANON,STREET, , , ,23152A,VC,DUI ALCOHOL,0,0,MISDEMEANOR,,
14883,184956,2018-06-26 16:49:00,313,8800, ,CLAIREMONT MESA,BOULEVARD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,,
14884,184933,2018-06-26 18:00:00,832,4200, ,42ND,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,,
14885,184913,2018-06-26 18:15:00,313,8000, ,BALBOA,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14886,184899,2018-06-26 19:40:00,312,4700, ,RENO,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14887,184974,2018-06-26 20:20:00,314,7800, ,MISSION CENTER,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,2,0,,,
